texto,classe
"Mulher de 52 anos dá ā luz quadrigęmeos em SC: Professora e marido procuraram clínica de fertilizaįão. Crianįas nasceram na sexta e permanecem internadas.",alegria
"VCP tem prejuízo de R$ 6 milhões no trimestre: Companhia registrou recorde de vendas de celulose no trimestre. VCP está se unindo com a Aracruz.",alegria
"Pernilongo gordo do Rio Pinheiros demonstra evoluįão em tempo real: Inseto maior não representa mais perigo ā populaįão, diz biķlogo. Resultado demonstra que larvas ajudam a indicar nível de poluiįão.",alegria
"Motorista que não entregar CNH cassada em 48 horas será preso no PR: Secretário de seguranįa anunciou operaįão nesta quarta-feira em Curitiba. Estado tem 69 mil habilitaįões cassadas e não devolvidas pelos motoristas.",alegria
"GM faz acordo com 95% das concessionárias nos Estados Unidos: Lojas tinham até hoje para decidir se continuariam na rede. Montadora tem planos de fechar 1.280 concessionárias no país.",alegria
"Modelo usa pintura corporal para pedir transparęncia a políticos em Londres: Campanha quer que os eurodeputados abram ao público seus gastos. Eleiįões para o Parlamento Europeu ocorrem entre 4 e 7 de junho.",alegria
"Lula diz que Vale-Cultura vai possibilitar que pobres tenham acesso ā cultura: Programa prevę cartão de R$ 50 para gastos com cultura. Lula disse que pediu a artistas que discutam a questão no país.",alegria
"Fotķgrafa 'ensina' ratos a posarem com instrumentos musicais: Eles 'posaram' em troca de comida, diz holandesa.",alegria
"Farc asseguram respeito ao cessar-fogo. As Forįas Armadas Revolucionárias da Colômbia (Farc) asseguraram neste domingo seu respeito ao cessar-fogo anunciado pelo comando rebelde há seis dias, mas reforįaram seu direito de se defender caso seja necessário.",alegria
"Pescadores recolhem 3 toneladas de lixo de rios em Rondônia: Cerca de 100 pessoas limparam dez quilômetros de rios em Ji-Paraná. Foram recolhidos sacos plásticos, garrafas e eletrodomésticos velhos.",alegria
"Brasil já saiu da crise financeira, diz Paulo Bernardo: Segundo o ministro do Planejamento, governo está otimista. Bernardo participou do 7ē Congresso Internacional Brasil Competitivo.",alegria
"Sandra Annenberg sai da quarentena apķs contrair nova gripe: Exames confirmaram diagnķstico nesta terįa-feira (28). Jornalista apresentou sintomas da doenįa desde dia 22 de julho.",alegria
"São Luís registra abril mais chuvoso dos últimos 24 anos: 'Cinturão de nuvens' provoca chuvas no Nordeste, segundo meteorologista. A partir de maio deve chover com menor intensidade na região.",alegria
"Brasil terá crescimento 'surpreendente' no prķximo ano, diz Lula: Em Campina Grande, presidente disse que país está saindo da crise. Oposiįão torce para Brasil não 'dar certo' para ter chance eleitoral, disse.",alegria
"Anotaįão antiga recém-descoberta revela histķria de sobrevivente do Holocausto: Albert Veissid, judeu francęs, foi preso pelos nazistas em Auschwitz. Bilhete recém-encontrado continha o nome dele e outras seis pessoas.",alegria
"Exame genético fixa dose de remédio para cada paciente: Variantes de DNA indicam como cada organismo lida com medicamento. Teste ajuda pacientes que tęm dificuldade com certas drogas.",alegria
"Cientistas conseguem observar 'fases' de planeta fora do Sistema Solar: Feito foi possível com o satélite franco-europeu CoRoT. Objeto é grande como Júpiter, mas gira prķximo ā estrela.",alegria
"Conselho acelera tramitaįão de inquéritos de crimes contra União: Meta é economizar tempo e desafogar as varas federais. A cada ano, perde-se de tręs a quatro meses com burocracia em inquéritos.",alegria
"Prestadoras de serviįos terão de enviar declaraįão anual de quitaįão de débitos: Obrigatoriedade consta na lei 12007, publicada no DO desta quinta-feira. Com isso, consumidor não terá mais de guardar recibos de anos anteriores.",alegria
"Bill Clinton visita o Haiti para coordenar ajuda ao país: Ex-presidente dos EUA é enviado especial da ONU ao país caribenho. Ele quer ajudar a reorganizar infraestrutura e criar 150 mil empregos.",alegria
"Pneus usados recebem destino ecolķgico apķs passar por 'Ecoponto' em MG: Cerca de 54 toneladas de borracha já foram reaproveitadas por empresas. Destinaįão errada pode render multa de R$1 mil a R$ 50 milhões.",alegria
"Documento da diretoria do FMI vę 'sinais de melhora' na economia brasileira: Para Fundo, país está em 'posiįão favorável' diante da crise. País ainda pode afrouxar políticas fiscal e monetária, caso necessário.",alegria
"Supremo julga réus do mensalão por crime de formaįão de quadrilha. O Supremo Tribunal Federal (STF) retomou há pouco o julgamento do último capítulo da Aįão Penal 470, o processo do mensalão. A ministra Rosa Weber analisa agora se os réus do núcleo político (José Dirceu, José Genoino e Delúbio Soares), publicitário (Marcos Valério, Ramon Hollerbach, Cristiano Paz, Simone Vasconcelos e Geiza Dias) e financeiro (Kátia Rabello, José Roberto Salgado, Ayanna Tenķrio e Vinícius Samarane) cometeram crime de formaįão de quadrilha.",alegria
"Japão estreia serviįo de doaįões on-line para políticos: Serviįo chamado 'Love Japan' é lanįado a um męs das eleiįões no país. Iniciativa pretende incentivar o aumento de contribuiįões individuais.",alegria
"Lula e presidente do Chile, Michelle Bachelet, firmam acordos em SP: Acordo prevę cooperaįão entre Receita e Serviįo Aduaneiro do Chile. Lula e Michelle Bachelet participam de encontro empresarial na Fiesp.",alegria
"Gás natural deve ficar mais barato no Rio: Nos postos, preįo deve cair em 6%, nas residęncias, em 2,75%. Novos valores passam a valer a partir desta sexta-feira (1).",alegria
"Obama anuncia ajuda de US$ 73 milhões para o Zimbábue: Anúncio foi feito apķs encontro com premię do país africano. Dinheiro não vai passar pelo governo do presidente Mugabe.",alegria
"Britânica de 66 anos dá ā luz um menino, diz jornal: Crianįa nasceu com aproximadamente 2,5 quilos. Ela se tornou a britânica mais velha a se tornar mãe.",alegria
"Intervenįões no mercado são temporárias, diz assessor da Casa Branca: Obama não quer 'controlar bancos, seguradoras ou montadoras', disse. Objetivo é resgatar mercado dos prķprios excessos, segundo Summers.",alegria
"Vale negocia preįo do minério de ferro com siderúrgicas chinesas: Empresa brasileira fechou acordo na quarta com japonesas e coreanas. Vale havia dito que sķ retomaria negociaįões depois das concorrentes.",alegria
"Morte de mãe dá estabilidade a detentor de guarda de crianįa, aprova Câmara: Texto prevę garantia de emprego por prazo máximo de cinco meses. Projeto segue agora para análise e votaįão no Senado.",alegria
"Ney Latorraca melhora e pode deixar CTI na prķxima semana. Permanece estável o estado de saúde do ator Ney Latorraca, de 68 anos, internado desde o dia 25 de outubro na Casa de Saúde São José, no Rio.",alegria
"Mudanįa tem que partir do povo, não de Obama, diz ex-radical dos EUA: William Ayers foi acusado de terrorismo por campanha de McCain. Ele foi militante de esquerda nos anos 60 e apoiou eleiįão de Obama.",alegria
"Airbus financiará operaįão de buscas das caixas-pretas do voo 447, diz jornal: Empresa quer estender operaįão por mais tręs meses. Airbus está disposta a gastar até  20 milhões (R$ 53,2 milhões).",alegria
"Arqueķlogos encontram vestígios com mais de 1.200 anos em MG: Pesquisadores localizaram amostras de vegetais em Montes Claros. Com projeto, cientistas querem aproximar comunidade das descobertas.",alegria
"Colégio Militar adia retorno ās aulas por causa da nova gripe: Reinício das atividades estava previsto para 3 de agosto. Aulas voltam em 17 de agosto em Porto Alegre.",alegria
"Christiane Torloni propõe vigília pela Amazônia no Senado: Atriz reuniu-se com deputados e senadores nesta terįa-feira (5). Ela quer que vigília dure a noite toda no plenário.",alegria
"Maceiķ faz campanha contra Aids no São João: Secretaria Municipal distribui cartilhas e preservativos durante a festa. Exames também estão sendo realizados na capital alagoana.",alegria
"Cientistas estudam teia de tarântulas: Seda produzida por esse tipo de aranha ainda é pouco conhecida. Grande resistęncia e flexbilidade do material gera interesse de indústria.",alegria
"Senadores terão que devolver verba irregular de auxílio-moradia: Presidente da Casa, José Sarney (PMDB-AP), terá desconto em folha. Mesa Diretora corrigiu erro administrativo e legalizou benefício.",alegria
"Lucro da Lojas Renner tem alta de 9,88%, para R$ 47,8 milhões: Resultados da empresa no 2ē trimestre saíram nesta segunda-feira (27). No acumulado do 1ē semestre, receita da rede superou R$ 1 bilhão.",alegria
"Água abre vala entre placa de contenįão e parede de barragem no Piauí: Chuva forte faz volume de água aumentar na Barragem de Algodões. Prefeitura de Cocal pediu helicķptero para resgatar moradores isolados.",alegria
"Laboratķrios apresentam bons resultados em drogas para o câncer: Testes clínicos mostraram potencial contra tumor de intestino, pele e mama. Dados ainda são preliminares; estudos com pacientes humanos continuam.",alegria
"Flor cria 'aeroporto' para abelhas em suas pétalas, revela estudo: Formato especial das células ajuda insetos a pousar com seguranįa. Planta e polinizadores possuem 'alianįa' que beneficia ambas as partes.",alegria
"Zoolķgico em MG abre as portas em noites de lua cheia: Visitantes podem conhecer hábitos noturnos de vários animais. Passeios noturnos são feitos mensalmente no zoolķgico de Belo Horizonte.",alegria
"Britânicos criam espermatozoides a partir de células-tronco de embrião: Pesquisa britânica chegou ā forma totalmente funcional da célula Feito poderá ajudar quem não consegue ser pai no futuro.",alegria
"Alencar é transferido para quarto, diz boletim médico: Vice foi submetido a cirurgia na sexta para tratar obstruįão intestinal. Médicos dizem que recuperaįão é considerada 'bastante satisfatķria'.",alegria
"Juíza manda soltar mulher de boxeador achado morto em Pernambuco: Segundo TJ, delegado considera que suspeita não teve ligaįão com morte. Ela deve deixar prisão na tarde desta quinta-feira.",alegria
"Homens dedicam mais tempo a filhos parecidos com eles, diz estudo: Pesquisa francesa foi feita com populaįões tradicionais do Senegal. Semelhanįa pode ser detectada até no cheiro das crianįas.",alegria
"Google diz estar prķximo de energia renovável mais barata que carvão: Em 2007, empresa anunciou que conduziria pesquisas nesse sentido. Especialista afirma que houve progresso nos últimos nove meses.",alegria
"Sarney marca instalaįão da CPI para a prķxima terįa-feira: Com decisão, definiįão dos cargos-chave ficou para a prķxima semana. Governo e oposiįão disputam comando da investigaįão.",alegria
"Campeãs da 'Corrida das Galinhas' deixam pegadas em calįada da fama: Ave batizada de Ana Maria ficou em primeiro lugar na disputa. Galinha com melhor fantasia estava como Maya, de 'Caminho das Índias'.",alegria
"'Salvar uma vida compensa o trabalho no feriado', diz piloto de helicķptero da PRF: Alguns profissionais não reclamam de passar Dia do Trabalho no batente. Serviįo é encarado com disposiįão por quem quer realizar sonho no futuro.",alegria
"Lula presenteia presidente da Nigéria com bola autografada por Pelé: Umaru Musa Yar´Adua faz visita oficial ao Brasil. Encontro entre presidentes foi no Palácio do Itamaraty.",alegria
"Agitaįão logo apķs impacto é bom sinal para Felipe Massa, diz especialista: Cirurgião do Albert Einstein indica necessidade de várias tomografias. Impacto forte sķ pode ser avaliado com esse acompanhamento.",alegria
"Kassab fala em 'criatividade' para gerar empregos durante crise: Prefeito de SP esteve na festa do Dia do Trabalho da CUT. Evento acontece na Cidade Dutra, na Zona Sul de São Paulo.",alegria
"Michelle Obama inova com jeito franco na Casa Branca: Primeira-dama dos EUA é conhecida por ser honesta e 'pé no chão'. Mães se identificam com seus comentários sobre família e trabalho.",alegria
"Supremo condena Dirceu e outros 9 réus por formaįão de quadrilha. O Supremo Tribunal Federal (STF) terminou, por volta das 20h10 desta segunda-feira (22/10), a parte do julgamento em que seriam recolhidos os votos dos ministros. Com o último pronunciamento de hoje, do presidente da Corte Ayres Britto, foram condenados pelo crime de formaįão de quadrilha José Dirceu e outros nove réus.",alegria
"Megainvestidor Warren Buffett vira boneco nos EUA: Brinquedos foram distribuídos a torcedores do Omaha Royals. Bilionário também é um dos principais donos do time.",alegria
"Japão quer reduzir emissão de gases para aquecer a economia: País quer combater a recessão e o aquecimento global. Até tirar a gravata pode ajudar a proteger o planeta.",alegria
"Cientistas mostram que origem espontânea da vida na Terra é viável: Experięncias químicas mostram como poderiam surgir moléculas de RNA. Elas agiriam como 'faz-tudo' que impulsionaria as primeiras formas de vida.",alegria
"Pesquisadores da Universidade de São Paulo em Bauru criam carne em pķ: Produto é destinado a pessoas que não podem mastigar. Carne será 60% mais barata que suplementos de proteína.",alegria
"Lucro do Deutsche Bank cresce mais de 60% no trimestre: Banco alemão lucrou 1,074 bilhão de euros no período. Resultados foram 'muito satisfatķrios', disse presidente da instituiįão.",alegria
"Alencar evolui bem, mas ainda não tem intestino restabelecido, diz boletim: Vice-presidente se recupera de cirurgia para desobstruįão intestinal. Nesta quarta, ele recebeu a visita do governador de Minas, Aécio Neves.",alegria
"Diretora da Petrobras anuncia produįão maior de usinas térmicas: Escassez de chuvas nas regiões Sul e Sudeste é o motivo. Será necessário aumentar a importaįão de gás natural da Bolívia.",alegria
"Ambulatķrio para atender suspeitos da nova gripe é inaugurado em MG: Área no Hospital Eduardo de Menezes pode atender 120 pessoas por dia. Na rede particular, médicos fazem triagem de pacientes em contęiner.",alegria
"Alencar já caminha e comeįa a se alimentar nesta segunda, diz hospital: Vice foi submetido a cirurgia na sexta para tratar obstruįão intestinal. Médicos dizem que vice-presidente está 'evoluindo bem'.",alegria
"Brasileiro é campeão mundial de aviões de papel: Leonard Ang ganhou na categoria 'tempo de voo'. Ele prometeu raspar a cabeįa caso vencesse.",alegria
"Sindicato cubano celebra 50 anos da revoluįão no Dia do Trabalho: Foi comemorado o 'compromisso com o socialismo'. O presidente Raúl Castro comandou o ato principal.",alegria
"Crianįas e porcos dividem espaįo em abrigo no Maranhão: Leitão ķrfão vira mascote de desabrigados em parque de exposiįões de Bacabal.",alegria
"Apķs 'fundo do poįo', economia vai se recuperar ainda este ano, diz Bernanke: Presidente do Fed vę desemprego em alta nos prķximos meses. Segundo ele, consumo subiu, mas investimento ainda está baixo.",alegria
"Contribuintes já podem pedir devoluįão de IR descontado de férias vendidas: Para obter restituiįão, é necessário retificar declaraįões antigas. O total a ser devolvido pode chegar a R$ 2 bilhões.",alegria
"Jornalista Merval Pereira recebe pręmio da Universidade de Columbia: Colunista do jornal 'O Globo' receberá medalha e um pręmio de US$ 5 mil. Premiaįão acontecerá em Nova York no dia 14 de outubro.",alegria
"Reserva no Xingu forma nova turma de bombeiros indígenas: Índios de MT combatem incęndios florestais em suas terras. No ano passado, brigada reduziu queimadas em 80%.",alegria
"Réplica do túmulo de Tutankamon será aberta ā visitaįão em 2013. O governo do Egito anunciou que no prķximo ano uma réplica exata do túmulo de Tutankamon será aberta ā visita do público, no Vale dos Reis, onde está enterrada a maioria dos faraķs egípcios.",alegria
"Google lanįa banda larga de altíssima velocidade. O Google apresentou nesta quinta-feira o serviįo de banda larga Google Fiber, prometendo uma velocidade de navegaįão mais de cem vezes superior ā de algumas das melhores companhias tradicionais de telecomunicaįão e cabo dos Estados Unidos.",alegria
"Lula pede que ministros apresentem marco regulatķrio para pré-sal: Solenidade no Rio marcou início de operaįão na camada pré-sal. Lula recebeu pequeno barril de petrķleo extraído hoje do Campo de Tupi.",alegria
"Vice José Alencar faz exames médicos em São Paulo: Vice-presidente faz tratamento contra um câncer. Ele está usando novo medicamento, em fase de pesquisa.",alegria
"Taxa de desemprego recua na Alemanha: Parte da baixa, no entanto, foi provocada por mudanįa no cálculo. Número de desempregados registrou queda de 127 mil em maio.",alegria
"Cientista usa Twitter para questionar paranormalidade: Experięncia usou site de relacionamentos para testar habilidades psíquicas de seguidores, diz 'New Scientist'.",alegria
"'Dados do IBGE mostram uma guinada para cima importante', diz Lula: Ele disse que ficou feliz com PIB melhor que esperado por adversários. Pânico de alguns setores da economia aumentou crise, disse presidente.",alegria
"José Alencar está disposto e conversa normalmente, diz hospital: Vice foi submetido a cirurgia na sexta para tratar obstruįão intestinal. Ele segue internado na UTI do hospital Sírio Libanęs, em São Paulo.",alegria
"Lula defende alianįa comercial entre países emergentes: As chances de ficarmos ricos são mais fáceis se estivermos juntos, disse. Presidente pede mais ousadia a empresários durante evento em São Paulo.",alegria
"Lula vai a Genebra para participar de reuniões da ONU e da OIT: Ele se encontrará com Sarkozy pela primeira vez apķs acidente do voo 447. Na terįa, Lula segue para a Rússia, onde se reúne com líderes dos BRICs.",alegria
"Vinho tinto aumenta libido feminina, diz estudo: Pesquisadores avaliaram questionários de quase 800 mulheres.",alegria
"Caranguejo vai parar em pizza no Maranhão: Nesta sexta-feira (10) será comemorado o Dia da Pizza. Receita maranhense ficou em 7ē lugar em competiįão entre pizzarias.",alegria
"Mães lactantes com nova gripe devem continuar amamentando: Orientaįão é da Breastfeeding Network, que defende a lactaįão natural. 'Se o bebę estiver com gripe, então o leite materno é o alimento ideal.'",alegria
"Peixes oleosos podem evitar doenįa degenerativa nos olhos, diz estudo: Consumo de ômega-3 pode frear degeneraįão macular nos primeiros estágios ou em estágios avanįados.",alegria
"Governo do Paraná paga indenizaįão a 45 ex-presos políticos: Indenizaįões totalizam R$ 893 mil. Presidente de comissão diz que indenizaįões tęm valor simbķlico.",alegria
"Justiįa dos EUA manda soltar jovem afegão prisioneiro em Guantánamo: Mohammed Jawad havia sido preso em 2002. Advogados dizem que ele tinha 12 anos ā época, mas Pentágono nega.",alegria
"Prouni é 'milagre' na educaįão e vai beneficiar 720 mil até 2010, diz Lula: Segundo presidente, hoje são 545 mil os universitários beneficiados. Ele disse ainda que no governo é 'proibido' dizer que educaįão é gasto.",alegria
"Mulher de Sarney se recupera bem de cirurgia, diz hospital: Dona Marly, de 77 anos, teve fraturas no ombro esquerdo apķs queda. Segundo boletim médico, não houve necessidade de colocar prķtese.",alegria
"Para Bernardo, economia pode ajudar eventual campanha de Dilma a 2010: 'Melhor forma de ganhar a eleiįão é fazer um bom governo', disse ministro. Governo terá que reforįar orįamento para pagar o Bolsa-Família, afirmou.",alegria
"Distribuiįão gratuita de camisinhas bate recorde no Brasil: Governo diz que 406 milhões de unidades foram distribuídas em um ano. Ministério da Saúde anuncia que pode entregar número ainda maior.",alegria
"Fiat quer adquirir atividades da GM na América Latina, diz agęncia: 'Negociaįões já comeįaram', informou uma fonte ā agęncia AFP. O porta-voz da montadora italiana se recusou a comentar a informaįão.",alegria
"Senado aprova MP para dar merenda e transporte escolar para ensino médio: MP destina R$ 547,6 milhões para programas do governo. Projeto regulamenta também repasses para o Pronera.",alegria
"Justiįa brasileira existe e se fez valer, diz Protķgenes: Delegado da PF comentou arquivamento do processo do juiz De Sanctis. Em festa de 1ē de Maio, ele disse que está na 'iminęncia' do desemprego.",alegria
"Turismo de Santa Catarina superou tragédia, diz secretário: Há seis meses, chuvas e desmoronamentos mataram mais de 120 pessoas. Turismo representa 12,5% do PIB do estado.",alegria
"China lanįará sua primeira sonda para Marte neste ano: Nave não-tripulada Yinghuo-1 (Vagalume-1) pesa 115 quilos. Objetivo é orbitar o planeta vermelho e obter dados.",alegria
"PF faz operaįão contra clonagem de cartões e fraudes pela internet: Mais de 600 policiais participam de aįão em 12 estados e no DF. Devem ser cumpridos 139 mandados de prisão e 136 de busca.",alegria
"Nos EUA, Alencar obtém autorizaįão para passar por novo tratamento contra câncer: Vice-presidente receberá novo medicamento. Tratamento ataca células que provocam o tumor.",alegria
"Barbeiro improvisa salão em abrigo temporário no Maranhão: Antonio Silvano montou barbearia em um dos cômodos do parque de exposiįões que abriga vítimas da cheia do rio Mearim.",alegria
"Navio mercante encontra peįa em área de buscas do voo 447: Fotos de peįa foram enviadas ā Marinha pelo comandante de navio. No total, 44 corpos já foram resgatados; outros seis estão em navio francęs.",alegria
"Fiocruz entrega 1ē lote de remédio para gripe A de fabricaįão prķpria: São 150 mil kits de produįão nacional; 5 mil para o Rio. Ministério comprará ainda outros 800 mil do exterior.",alegria
"Obama marca 'cervejada dos brigões' para quinta-feira na Casa Branca: Professor negro de Harvard e policial branco são pivôs do caso. Com convite a envolvidos, presidente tenta encerrar polęmica racial.",alegria
"Advogados querem indenizaįão de R$ 500 mil para jovem presa com homens: Em 2007, garota sofreu abusos em delegacia de Abaetetuba, no Pará. Defesa também pedirá pensão mensal vitalícia de dois salários mínimos.",alegria
"Lula presenteia líderes do G5 com camisas da seleįão brasileira: Presidente brincou sobre vitķria do Brasil na Copa das Confederaįões. Segundo ele, lema de campanha de Obama, 'yes, we can', inspirou seleįão.",alegria
"Laboratķrio do PR passa a realizar exames da nova gripe, diz governo: Resultados de testes de pacientes do estado devem sair em 2 dias. Secretário da Saúde disse que 'aulas devem seguir normalmente'.",alegria
"Menina britânica que ganhou direito de morrer é operada: Jovem mudou de ideia e foi submetida a transplante de coraįão em Londres.",alegria
"Fiat confirma interesse na compra da Opel: Presidente da montadora italiana diz que empresa alemã seria 'parceira ideal' para a companhia.",alegria
"Senador do Piauí sofre cirurgia de reduįão de estômago em SP: Heráclito Fortes (DEM) passa bem e ainda está na UTI. Assessoria diz que senador deve ficar de licenįa por uma semana.",alegria
"Kraft Foods registra lucro 10% maior no trimestre: Ganho líquido foi de US$ 660 milhões. Receitas líquidas caíram 6,5% entre janeiro e marįo.",alegria
"No Maranhão, Lula pede que divergęncias políticas sejam deixadas de lado: Presidente visitou áreas afetadas pelas enchentes no estado e no Piauí. Ele pediu que prefeitos apresentem projetos de recuperaįão ao governo.",alegria
"Indústria do Japão tem maior crescimento em 56 anos: Setor cresceu 8,3% no 2ē trimestre na comparaįão com o anterior. Japão entrou em recessão no segundo trimestre de 2008.",alegria
"Organizaįão Mundial da Saúde vai enviar remédio contra a nova gripe a 72 países: Antiviral Tamiflu havia sido doado pela Roche ā agęncia da ONU. Estoque é suficiente para tratar 2,4 milhões de pacientes.",alegria
"Estados do Nordeste tentam organizar campanha para vítimas das chuvas: Segundo defesas civis, não há aįão nacional para arrecadar donativos. Afetados por chuvas ganham kit de emergęncia da Defesa Civil nacional.",alegria
"Metodistas abrigam moradores de rua no centro de São Paulo: Prefeitura estima que 12 mil pessoas vivam em situaįão de rua. Igreja Metodista tem 341 mil fiéis pelo país.",alegria
